nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Giovani Feltes,M,91 dias,0 dias,1 dias,18 reuniões,0 reuniões,4 reuniões,10/04/1957,"292.295,12","1.095.245,29","33.763,00",-,"37.369,29","35.989,03","29.111,39","63.623,79","20.875,74","31.955,95","26.391,45","5.880,69","7.923,74",-,-,-,"111.101,04","111.544,86","108.521,73","109.378,77","109.627,69","107.747,07","108.089,89","109.075,48","109.075,48","1.082,20",-
Gilberto Nascimento,M,65 dias,27 dias,0 dias,29 reuniões,3 reuniões,9 reuniões,09/07/1956,"400.488,83","1.077.002,90","33.763,00",-,"49.626,23","52.149,16","41.954,56","48.827,83","33.307,84","45.287,25","30.344,91","25.638,80","24.688,09",-,-,-,"111.198,75","111.198,75","106.097,59","111.198,75","109.244,31","100.666,68","106.570,48","106.570,48","103.339,74","5.996,33",-
Giovani Cherini,M,86 dias,3 dias,3 dias,40 reuniões,3 reuniões,13 reuniões,23/06/1960,"411.793,60","1.114.323,38","33.763,00",-,"42.357,46","49.953,41","53.766,31","49.975,70","54.876,19","39.994,44","42.715,35","21.531,51","20.310,87",-,-,-,"111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71","1.176,94",-
Daniel Almeida,M,90 dias,2 dias,0 dias,38 reuniões,0 reuniões,37 reuniões,21/01/1955,"355.283,65","1.116.596,10","33.763,00",-,"47.548,42","44.459,65","32.596,32","51.389,18","29.676,29","18.598,64","16.188,74","14.756,90","40.472,41",-,-,-,"111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","840,75",-
Daniel Coelho,M,91 dias,0 dias,1 dias,6 reuniões,0 reuniões,0 reuniões,04/11/1978,"356.643,22","1.114.987,92","33.763,00",-,"47.545,19","47.271,20","36.128,30","44.454,63","30.323,85","32.107,75","22.965,49","20.599,99","18.151,21",-,-,-,"111.580,81","111.580,81","111.332,51","111.580,81","111.580,82","111.559,70","111.471,69","111.474,71","111.507,06","196,60",-
Daniel Silveira,M,89 dias,1 dias,2 dias,87 reuniões,1 reuniões,58 reuniões,25/11/1982,"304.626,81","1.050.905,67","33.763,00",-,"37.560,86","37.098,84","39.709,62","37.913,96","33.297,09","28.745,65","27.784,42","13.563,62","12.600,99",-,-,-,"106.558,15","108.774,14","105.193,39","109.706,94","103.433,49","86.143,80","107.120,36","107.862,35","111.382,87","714,18",-
Daniel Trzeciak,M,86 dias,6 dias,0 dias,31 reuniões,8 reuniões,6 reuniões,04/11/1986,"212.359,17","1.044.495,31","33.763,00",-,"15.211,53","16.366,04","18.241,57","39.352,32","20.817,46","28.100,30","16.051,09","16.840,25","32.070,78",-,-,-,"105.415,99","105.436,13","108.226,36","105.982,05","109.497,39","106.036,48","94.998,83","99.412,79","104.033,76","0,00",-
Daniel Freitas,M,77 dias,0 dias,15 dias,3 reuniões,0 reuniões,0 reuniões,03/04/1982,"294.909,83","1.099.503,46","33.763,00",-,"24.248,40","40.255,97","45.138,90","47.999,13","30.847,10","32.894,95","25.917,35","4.096,46","4.904,68",-,-,-,"105.697,03","109.243,35","110.933,95","110.816,55","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11","0,00",-
Danilo Forte,M,86 dias,3 dias,3 dias,42 reuniões,2 reuniões,21 reuniões,01/09/1958,"397.193,34","1.052.260,59","33.763,00",-,"48.807,99","40.578,79","80.716,86","52.959,10","57.550,28","22.707,17","9.622,62","6.546,36","9.678,36",-,-,-,"105.109,88","101.753,78","108.735,93","107.930,59","108.600,66","101.671,79","104.239,59","101.843,93","102.801,40","118,90",-
Danrlei de Deus Hinterholz,M,50 dias,7 dias,11 dias,17 reuniões,9 reuniões,27 reuniões,18/04/1973,"217.902,33","702.641,09","33.763,00",-,-,"0,00","38.636,46","39.413,57","43.580,07","37.837,68","23.198,87","19.647,18","15.588,50",-,-,-,"0,00","3.313,89","92.253,84","88.602,16","99.507,11","95.073,08","107.705,84","108.196,00","107.989,17","0,00",-
