nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Carla Dickson,F,91 dias,0 dias,1 dias,62 reuniões,0 reuniões,5 reuniões,02/07/1976,"304219,33","1112342,45",33763,-,"44761,07","52267,87","38231,83","31382,92","32701,13","15878,04","19847,11","8928,74","35322,67",-,-,-,"111271,39","111271,39","111271,39","111271,39","110132,42","111538,26","111238,3","111538,26","111538,26","311,76",-
Carla Zambelli,F,79 dias,12 dias,1 dias,10 reuniões,5 reuniões,12 reuniões,03/07/1980,"262306,41","1095690,52",33763,-,"29972,46","28196,83","51011,16","21729,23","22816,95","21987,75","14571,57","14918,4","20785,86",-,-,-,"111299,27","110215,67","108206,27","105302,52","105657,79","108726,99","111400,84","111665,78","111665,78","1005,67",-
Carmen Zanotto,F,92 dias,0 dias,0 dias,62 reuniões,0 reuniões,15 reuniões,06/10/1962,"231024,12","981103,21",33763,-,"28801,18","31514,98","35066,26","30373,86","31040,14","26674,03","14544,84","11565,37","6058,22",-,-,-,"102247,05","101219,81","102930,96","102930,96","101603,76","86458,75","91918,18","92236,93","97802,61",0,-
Chris Tonietto,F,88 dias,2 dias,2 dias,59 reuniões,4 reuniões,6 reuniões,14/05/1991,"124730,04","789351,13",33763,-,"10173,11","9970,3","12050,51","13872,46","19466,91","25628,43","11169,95","3255,31","7593,78",-,-,-,"69101,84","69101,84","76266,55","71632,9","85504,27","88597,5","88597,5","88597,5","82910,48","179,68",-
Caroline de Toni,F,91 dias,0 dias,1 dias,45 reuniões,1 reuniões,11 reuniões,01/09/1986,"107603,5","910528,01",33763,-,"9002,78","14101,09","24174,38","11285,98","15473,46","14468,42","7103,83","3096,89","5223,46",-,-,-,"86627,52","88148,33","96367,63","92593,08","96367,63","93146,11","92800,95","92800,95","87409,42","2095,58",-
Celina Leão,F,71 dias,2 dias,19 dias,18 reuniões,1 reuniões,23 reuniões,02/03/1977,"101582,4","1102763,97",33763,-,"11101,64","13853,72","17835,36","18215,77","15949,33","14392,13","6642,14","2402,27",0,-,-,-,"110840,11","110489,74","110401,05","109406,57","109266,63","109432,72","110798,51","110798,51","110798,51",0,-
Christiane de Souza Yared,F,83 dias,9 dias,0 dias,27 reuniões,6 reuniões,5 reuniões,23/02/1960,"308558,9","1091077,27",33763,-,"44324,43","35762,57","41149,82","54189,41","32246,76","23122,06",18987,"15357,26","19462,29",-,-,-,"108772,44","108772,44","108366,22","108772,44","104176,55","111586,94","111586,94","111586,94","108683,92",0,-
Clarissa Garotinho,F,86 dias,0 dias,6 dias,37 reuniões,0 reuniões,14 reuniões,02/07/1982,"289071,2","1112908,07",33763,-,"16907,3","54747,61","57969,92","49861,8","53352,84","20869,99","15804,77","9670,34","1855,18",-,-,-,"110319,03","110945,19","111532,21","111532,21","111532,21","111532,21","111532,21","111532,21","111532,21","59,76",-
Daniela do Waguinho,F,80 dias,10 dias,2 dias,42 reuniões,9 reuniões,9 reuniões,10/02/1976,"304951,63","1097670,85",33763,-,"36604,61","48540,64","50236,04","61049,56","27308,97","20808,56","13155,35","11253,04",0,-,-,-,"110578,75","110970,4","111234,95","111234,95","111234,95","111234,95","110155,05","109870,15","100152,27","26,28",-
Dra. Soraya Manato,F,92 dias,0 dias,0 dias,111 reuniões,0 reuniões,64 reuniões,10/03/1961,"276291,75","1100822,25",33763,-,"37397,79","57239,48","43635,09","36607,77","15176,75","23098,74","18128,98","8706,64","4946,76",-,-,-,"111501,77","110559,03","110920,06","110173,36","110221,1","107709,88","107907,12","109518,27","110809,89",0,-
